	Identifiant	Dev_stage.x	Site.x	UHI_class_2021.x	UHI_12_02_pixel.x	UHI_03_04_pixel.x	UHI_09_04_pixel.x	Session.x	Dispositif.x	Min1	Min2	Min3	Min4	Min5	Min6	Min7	Min8	Min9	Min10	Min11	Min12	Min13	Min14	Min15	Min16	Min17	Min18	Min19	Min20	Min21	Min22	Min23	Min24	Min25	Min26	Min27	Min28	Min29	Min30	Min31	Min32	Min33	Min34	Min35	Min36	Min37	Min38	Min39	Min40	Min41	Min42	Min43	Min44	Min45	Min46	Min47	Min48	Min49	Min50	Min51	Min52	Min53	Min54	Min55	Min56	Min57	Min58	Min59	Min60	Min61	Min62	Min63	Min64	Min65	Min66	Min67	Min68	Min69	Min70	Min71	Min72	Min73	Min74	Min75	Min76	Min77	Min78	Min79	Min80	Min81	Min82	Min83	Min84	Min85	Min86	Min87	Min88	Min89	Min90
1	F/P/2/N1	Adult	F	Low	0.950	1.2	1.0375	2	A	27.9	27.7	16.9	24.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	35.3	35.3	35.3
2	F/P/2/N10	Adult	F	Low	0.950	1.2	1.0375	2	A	33.3	33.3	33.3	33.3	16.1	23.2	15.6	26.8	27.7	33.1	26.3	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.6	32.6	32.6	22.8	33.1	26.6	26.8	26.8	27.7	23.5	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5
3	F/P/2/N11	Adult	F	Low	0.950	1.2	1.0375	2	A	23.4	23.4	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	34.5	34.5	34.5	34.5	34.5	34.5	34.5
4	F/P/2/N12	Adult	F	Low	0.950	1.2	1.0375	2	A	33.8	24.4	30.6	30.6	30.6	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	26.4	31.7	31.7	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2
5	F/P/2/N13	Adult	F	Low	0.950	1.2	1.0375	2	A	22.8	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	29	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7
6	F/P/2/N14	Adult	F	Low	0.950	1.2	1.0375	2	A	27.7	35.8	19	22.1	22.1	22.1	24.6	24.6	24.6	24.6	21.4	26.1	26.1	26.1	26.1	22.5	22.5	22.5	22.5	22.5	22.8	22.8	21.7	21.7	21.7	21.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	23	23.2	27	27	27	27	27	27	27	28.1	19.6	20.7	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	26.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6
7	F/P/2/N15	Adult	F	Low	0.950	1.2	1.0375	2	B	24.6	28.8	28.6	28.8	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	33.8	35.8	38	33.1	16.8	34.6	23
8	F/P/2/N16	Adult	F	Low	0.950	1.2	1.0375	2	B	22.5	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.1	33.6	28.6	33.8	37.7	30.9	30.9	31.9	31.3	30.6	26.6	30.9	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7
9	F/P/2/N17	Adult	F	Low	0.950	1.2	1.0375	2	B	29.4	29.4	27.7	37.7	37.3	37.3	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	35.1	37.3	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	27.2	36.8	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	36.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.3	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	37	37.3	33.1	37.7	37.7	19.8	35.8	37	37	37	37	37	37	37	37	37
10	F/P/2/N18	Adult	F	Low	0.950	1.2	1.0375	2	B	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	31.3	38	33.3	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	35.5	24.9	24.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	37	30.9	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3
