Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
F/P/2/N1	20-avr	10h	F	Thorigné	13.7	F	0.0293	ok
F/P/2/N10	20-avr	10h	F	Thorigné	13.7	M	0.0307	ok
F/P/2/N11	20-avr	10h	F	Thorigné	13.7	F	0.0355	ok
F/P/2/N12	20-avr	10h	F	Thorigné	13.7	M	0.0113	ok
F/P/2/N13	20-avr	10h	F	Thorigné	13.7	F	0.0298	ok
F/P/2/N14	20-avr	10h	F	Thorigné	13.7	M	0.0116	ok
F/P/2/N15	20-avr	10h	F	Thorigné	13.7	F	0.0264	ok
F/P/2/N16	20-avr	10h	F	Thorigné	13.7	F	0.0315	ok
F/P/2/N17	20-avr	10h	F	Thorigné	13.7	M	0.0157	ok
F/P/2/N18	20-avr	10h	F	Thorigné	13.7	M	0.0121	ok
F/P/2/N19	20-avr	10h	F	Thorigné	13.7	M	0.0118	ok
F/P/2/N2	20-avr	10h	F	Thorigné	13.7	M	0.0108	ok
F/P/2/N20	20-avr	10h	F	Thorigné	13.7	F	0.0266	ok
F/P/2/N21	20-avr	10h	F	Thorigné	13.7	F	0.0368	ok
F/P/2/N22	20-avr	10h	F	Thorigné	13.7	F	0.03	ok
F/P/2/N23	20-avr	10h	F	Thorigné	13.7	F	0.0305	ok
F/P/2/N24	20-avr	10h	F	Thorigné	13.7	M	0.013	ok
F/P/2/N25	20-avr	10h	F	Thorigné	13.7	M	0.0116	ok
F/P/2/N26	20-avr	10h	F	Thorigné	13.7	F	0.0256	ok
F/P/2/N27	20-avr	10h	F	Thorigné	13.7	M	0.011	ok
F/P/2/N28	20-avr	10h	F	Thorigné	13.7	M	0.0114	ok
F/P/2/N3	20-avr	10h	F	Thorigné	13.7	M	0.0151	ok
F/P/2/N4	20-avr	10h	F	Thorigné	13.7	F	0.0255	ok
F/P/2/N5	20-avr	10h	F	Thorigné	13.7	M	0.0131	ok
F/P/2/N6	20-avr	10h	F	Thorigné	13.7	M	0.0105	ok
F/P/2/N7	20-avr	10h	F	Thorigné	13.7	F	0.0262	ok
F/P/2/N8	20-avr	10h	F	Thorigné	13.7	F	0.0371	ok
F/P/2/N9	20-avr	10h	F	Thorigné	13.7	M	0.0107	ok
F/P/3/N1	22-juin	15h	F	Thorigné	24.8	F	0.0265	ok
F/P/3/N10	22-juin	15h	F	Thorigné	24.8	F	0.0355	ok
F/P/3/N11	22-juin	15h	F	Thorigné	24.8	F	0.0297	ok
F/P/3/N12	22-juin	15h	F	Thorigné	24.8	F	0.0317	ok
F/P/3/N13	22-juin	15h	F	Thorigné	24.8	F	0.0303	ok
F/P/3/N14	22-juin	15h	F	Thorigné	24.8	F	0.0344	ok
F/P/3/N2	22-juin	15h	F	Thorigné	24.8	F	0.0234	ok
F/P/3/N3	22-juin	15h	F	Thorigné	24.8	F	0.0337	ok
F/P/3/N4	22-juin	15h	F	Thorigné	24.8	F	0.0309	ok
F/P/3/N5	22-juin	15h	F	Thorigné	24.8	F	0.0291	ok
F/P/3/N6	22-juin	15h	F	Thorigné	24.8	F	0.032	ok
F/P/3/N7	22-juin	15h	F	Thorigné	24.8	F	0.029	ok
F/P/3/N8	22-juin	15h	F	Thorigné	24.8	F	0.0281	ok
F/P/3/N9	22-juin	15h	F	Thorigné	24.8	F	0.044	ok
F/P/N1	25-mars	9h30	F	Thorigné	13	M	0.0129	ok
F/P/N10	25-mars	9h30	F	Thorigné	13	F	0.0127	ok
F/P/N11	25-mars	9h30	F	Thorigné	13	M	0.0139	ok
F/P/N12	25-mars	9h30	F	Thorigné	13	F	0.0217	ok
F/P/N13	25-mars	9h30	F	Thorigné	13	M	0.0181	juv
F/P/N14	25-mars	9h30	F	Thorigné	13	F	0.0214	ok
F/P/N15	25-mars	9h30	F	Thorigné	13	F	0.0169	juv
F/P/N16	25-mars	9h30	F	Thorigné	13	M	0.0138	ok
F/P/N17	25-mars	9h30	F	Thorigné	13	F	0.0143	juv
F/P/N18	25-mars	9h30	F	Thorigné	13	M	0.0101	ok
F/P/N19	25-mars	9h30	F	Thorigné	13	M	0.0109	ok
F/P/N2	25-mars	9h30	F	Thorigné	13	M	0.0128	ok
F/P/N20	25-mars	9h30	F	Thorigné	13	M	0.0123	ok
F/P/N21	25-mars	9h30	F	Thorigné	13	M	0.0179	ok
F/P/N22	25-mars	9h30	F	Thorigné	13	M	0.0116	ok
F/P/N23	25-mars	9h30	F	Thorigné	13	F	0.0133	juv
F/P/N24	25-mars	9h30	F	Thorigné	13	M	0.013	ok
F/P/N25	25-mars	9h30	F	Thorigné	13	F	0.0188	juv
F/P/N26	25-mars	9h30	F	Thorigné	13	M	0.0123	ok
F/P/N27	25-mars	9h30	F	Thorigné	13	M	0.015	juv
F/P/N28	25-mars	9h30	F	Thorigné	13	F	0.0176	ok
