Identifiant	Length_mm
F/P/N1	2.443714286
F/P/N2	2.3735
F/P/N3	3.007071429
F/P/N4	3.147928571
F/P/N5	2.966857143
F/P/N6	3.037285714
F/P/N7	2.101928571
F/P/N8	2.011428571
F/P/N9	3.409357143
F/P/N10	2.2025
F/P/N11	2.333285714
F/P/N12	2.705357143
F/P/N13	2.926642857
F/P/N14	2.816
F/P/N15	3.037285714
F/P/N16	2.283
F/P/N17	2.9065
F/P/N18	2.152214286
F/P/N19	2.182428571
F/P/N20	2.222642857
F/P/N21	2.795928571
F/P/N22	2.112
F/P/N23	2.464
F/P/N24	2.363428571
F/P/N25	3.409357143
F/P/N26	2.393571429
F/P/N27	2.866285714
F/P/N28	2.826071429
F/P/N29	4.445285714
F/P/N30	3.751357143
F/P/N31	2.162285714
F/P/N32	3.238428571
F/P/N33	2.081857143
F/P/N34	2.172357143
F/P/N35	2.3735
F/P/N36	2.323214286
F/P/N37	2.081857143
F/P/N38	2.061714286
F/P/N39	2.353357143
F/P/N40	2.303071429
F/P/N41	2.876357143
F/P/N42	3.399357143
F/P/2/N1	4.190285714
F/P/2/N2	2.206478571
F/P/2/N3	2.611335714
F/P/2/N4	4.180164286
F/P/2/N5	2.095142857
F/P/2/N6	2.236842857
F/P/2/N7	3.329957143
F/P/2/N8	4.139678571
F/P/2/N9	2.14575
F/P/2/N10	3.927128571
F/P/2/N11	4.473685714
F/P/2/N12	2.267207143
F/P/2/N13	3.93725
F/P/2/N14	2.317814286
F/P/2/N15	4.2915
F/P/2/N16	4.210528571
F/P/2/N17	2.702428571
F/P/2/N18	2.489878571
F/P/2/N19	2.479757143
F/P/2/N20	4.028342857
F/P/2/N21	4.524292857
F/P/2/N22	4.36235
F/P/2/N23	4.372471429
F/P/2/N24	2.327935714
F/P/2/N25	2.165992857
F/P/2/N26	4.483807143
F/P/2/N27	2.196357143
F/P/2/N28	2.125507143
F/P/3/N1	4.204392857
F/P/3/N2	3.625907143
F/P/3/N3	4.171314286
F/P/3/N4	3.858214286
F/P/3/N5	4.029914286
F/P/3/N6	3.019907143
F/P/3/N7	3.706707143
F/P/3/N8	3.524907143
F/P/3/N9	4.130914286
F/P/3/N10	3.656207143
F/P/3/N11	3.131007143
F/P/3/N12	4.201614286
F/P/3/N13	4.332914286
F/P/3/N14	4.221814286
