Identifiant	Length_legs_mm
F/P/N1	9.584428571
F/P/N2	10.58021429
F/P/N3	9.654857143
F/P/N4	13.37607143
F/P/N5	9.715214286
F/P/N6	11.22385714
F/P/N7	9.383285714
F/P/N8	9.755428571
F/P/N9	9.4335
F/P/N10	9.514071429
F/P/N11	11.30435714
F/P/N12	12.64185714
F/P/N13	9.7655
F/P/N14	12.37035714
F/P/N15	9.323
F/P/N16	10.79128571
F/P/N17	8.407785714
F/P/N18	10.24828571
F/P/N19	10.07728571
F/P/N20	9.785571429
F/P/N21	12.25971429
F/P/N22	10.15771429
F/P/N23	9.554357143
F/P/N24	10.84164286
F/P/N25	8.950928571
F/P/N26	10.33878571
F/P/N27	8.588785714
F/P/N28	12.35021429
F/P/N29	12.02835714
F/P/N30	12.50107143
F/P/N31	9.9465
F/P/N32	12.9335
F/P/N33	10.07728571
F/P/N34	9.996857143
F/P/N35	10.54992857
F/P/N36	10.8215
F/P/N37	10.58014286
F/P/N38	10.28857143
F/P/N39	9.785571429
F/P/N40	10.22814286
F/P/N41	12.61555714
F/P/N42	9.051428571
F/P/2/N1	11.82185714
F/P/2/N2	10
F/P/2/N3	11.30566429
F/P/2/N4	12.36842143
F/P/2/N5	10.57692143
F/P/2/N6	9.595142857
F/P/2/N7	7.995957143
F/P/2/N8	12.84412857
F/P/2/N9	10.22267143
F/P/2/N10	12.52023571
F/P/2/N11	12.56072143
F/P/2/N12	10.45546429
F/P/2/N13	13.83602857
F/P/2/N14	10.7085
F/P/2/N15	12.47975714
F/P/2/N16	12.56072857
F/P/2/N17	11.83198571
F/P/2/N18	10.26315714
F/P/2/N19	10.89069286
F/P/2/N20	12.88460714
F/P/2/N21	14.13968571
F/P/2/N22	12.15586429
F/P/2/N23	11.68015714
F/P/2/N24	10.9919
F/P/2/N25	10.59716429
F/P/2/N26	14.1498
F/P/2/N27	10.53643571
F/P/2/N28	10.43522143
F/P/3/N1	14.67535
F/P/3/N2	13.49362857
F/P/3/N3	13.60472857
F/P/3/N4	11.76652857
F/P/3/N5	12.38262857
F/P/3/N6	12.20082857
F/P/3/N7	14.31174286
F/P/3/N8	13.45323571
F/P/3/N9	12.18062857
F/P/3/N10	12.26142857
F/P/3/N11	12.49373571
F/P/3/N12	13.19063571
F/P/3/N13	12.80682857
F/P/3/N14	12.56442857
H1/P/N1	7.94
H1/P/N2	9.64
H1/P/N3	8.05
H1/P/N4	7.33
H1/P/N5	8.77
H1/P/N6	7.93
H1/P/N7	6.22
H1/P/N8	7.34
H1/P/N9	8.35
H1/P/N10	9.43
H1/P/N11	9.6
H1/P/N12	9.74
H1/P/N13	8.9
H1/P/N14	9.06
H1/P/N15	8.94
H1/P/N16	8.54
H1/P/N17	8.11
H1/P/N18	8.48
H1/P/N19	6.98
H1/P/N20	8.46
H1/P/N21	8.6
H1/P/N22	8.49
H1/P/N23	9.9
H1/P/N24	8.09
H1/P/N25	6.81
H1/P/N26	7.17
H1/P/N27	8.95
H1/P/N28	7.22
H1/P/N29	7.71
H1/P/N30	8.96
H1/P/N31	8.25
H1/P/N32	8.42
H1/P/N33	10.33
H1/P/N34	9.22
H1/P/N35	10.48
H1/P/N36	8.17
H1/P/N37	9.26
H1/P/N38	8.5
H1/P/N39	7.25
H1/P/N40	7.26
H1/P/N41	8.15
H1/P/N42	8.85
L1/P/N1	10.09109312
L1/P/N2	10.3340081
L1/P/N3	9.139676114
L1/P/N4	9.139676114
L1/P/N5	7.884615384
L1/P/N6	9.777327936
L1/P/N7	9.736842105
L1/P/N8	8.744939271
L1/P/N9	7.914979758
L1/P/N10	7.773279351
L1/P/N11	9.028340081
L1/P/N12	8.188259109
L1/P/N13	7.935222672
L1/P/N14	9.018218624
L1/P/N15	13.46153846
L1/P/N16	10.2631579
L1/P/N17	13.65384615
L1/P/N18	9.585020244
L1/P/N19	10.20242915
L1/P/N20	10.0708502
L1/P/N21	10.74898785
L1/P/N22	10.30364372
L1/P/N23	12.27732794
L1/P/N24	10.25303644
L1/P/N25	9.514170041
L1/P/N26	12.8340081
L1/P/N27	8.836032389
L1/P/N28	10.28149381
L1/P/N29	14.76720648
L1/P/N30	10.60728745
L1/P/N31	9.585020243
L1/P/N32	10.30364373
L1/P/N33	10.02024292
L1/P/N34	13.95748988
L1/P/N35	11.52834008
L1/P/N36	13.31983806
L1/P/N37	11.99392713
L1/P/N38	9.767206478
L1/P/N39	11.25506073
L1/P/N40	12.22672065
L1/P/N41	12.76315789
L1/P/N42	10.16194332
L1/P/2/N1	10.01805
L1/P/2/N2	9.854935714
L1/P/2/N3	9.994407143
L1/P/2/N4	10.95248571
L1/P/2/N5	9.996035714
L1/P/2/N6	10.27200714
L1/P/2/N7	9.550207143
L1/P/2/N8	10.09604286
L1/P/2/N9	10.23054286
L1/P/2/N10	10.51555
L1/P/2/N11	9.852121429
L1/P/2/N12	9.930321429
L1/P/2/N13	10.13837857
L1/P/2/N14	9.6188
L1/P/2/N15	11.45566429
L1/P/2/N16	13.00668571
L1/P/2/N17	11.92527143
L1/P/2/N18	10.37115714
L1/P/2/N19	12.02051429
L1/P/2/N20	11.45734286
L1/P/2/N21	9.85095
L1/P/2/N22	13.39771429
L1/P/2/N23	11.90650714
L1/P/2/N24	12.24312857
L1/P/2/N25	12.5163
L1/P/2/N26	12.02656429
L1/P/2/N27	9.738614286
L1/P/2/N28	11.95985
L2b/P/N1	9.3578
L2b/P/N2	8.107842857
L2b/P/N3	10.12485714
L2b/P/N4	8.784964286
L2b/P/N5	8.594807143
L2b/P/N6	8.437557143
L2b/P/N7	10.71635714
L2b/P/N8	10.89021429
L2b/P/N9	7.284864286
L2b/P/N10	9.010835714
L2b/P/N11	8.187407143
L2b/P/N12	9.629085714
L2b/P/N13	9.363778571
L2b/P/N14	8.970064286
L2b/P/N15	8.632521429
L2b/P/N16	9.516378571
L2b/P/N17	9.794107143
L2b/P/N18	9.341192857
L2b/P/N19	7.335478571
L2b/P/N20	7.5047
L2b/P/N21	7.934442857
L2b/P/N22	8.712157143
L2b/P/N23	8.066521429
L2b/P/N24	8.939692857
L2b/P/N26	10.34268571
L2b/P/N27	8.047228571
L2b/P/N28	8.572385714
L2b/P/N29	7.93815
L2b/P/N30	9.498571429
L2b/P/N31	12.31111429
L2b/P/N32	12.05871429
L2b/P/N33	13.46044286
L2b/P/N34	12.06709286
L2b/P/N35	12.31807143
L2b/P/N36	8.622064286
L2b/P/N37	10.42317143
L2b/P/N38	12.43614286
L2b/P/N39	8.59275
L2b/P/N40	7.467857143
L2b/P/N41	7.078128571
L2b/P/N43	9.549842857
L2b/P/2/N1	10.59131429
L2b/P/2/N2	13.60795714
L2b/P/2/N3	14.18465
L2b/P/2/N4	10.902
L2b/P/2/N5	11.12163571
L2b/P/2/N6	8.871014286
L2b/P/2/N7	12.88988571
L2b/P/2/N8	10.67187857
L2b/P/2/N9	9.377321429
L2b/P/2/N10	13.07508571
L2b/P/2/N11	13.95547857
L2b/P/2/N12	10.10596429
L2b/P/2/N13	14.51840714
L2b/P/2/N14	13.15087143
L2b/P/2/N16	10.95675
L2b/P/2/N17	6.225664286
L2b/P/2/N18	9.589921429
L2b/P/2/N19	9.396278571
L2b/P/2/N20	9.896521429
L2b/P/2/N21	9.537378571
L2b/P/2/N22	10.20402857
L2b/P/2/N23	10.97721429
L2b/P/2/N24	8.66115
L2b/P/2/N25	10.90912857
L2b/P/2/N26	11.87283571
L2b/P/2/N27	11.443
L2b/P/2/N28a	11.26642143
L2/P/2/N28b	11.32612857
L3/P/N1	8.088164286
L3/P/N2	10.25395714
L3/P/N3	8.047485714
L3/P/N4	7.34
L3/P/N5	9.863435714
L3/P/N6	8.473164286
L3/P/N7	7.506321429
L3/P/N8	7.304028571
L3/P/N9	7.574842857
L3/P/N10	8.156771429
L3/P/N11	5.114285714
L3/P/N12	8.735692857
L3/P/N13	7.774892857
L3/P/N14	6.560564286
L3/P/N15	8.845457143
L3/P/N16	11.9406
L3/P/N17	7.441107143
L3/P/N18	9.648742857
L3/P/N19	9.727292857
L3/P/N20	9.652285714
L3/P/N21	7.909671429
L3/P/N22	9.047914286
L3/P/N23	9.845478571
L3/P/N24	11.78107857
L3/P/N25	9.707407143
L3/P/N26	7.928207143
L3/P/N27	11.19213571
L3/P/N28	9.370114286
L3/P/N29	9.694192857
L3/P/N30	8.94885
L3/P/N31	12.30424286
L3/P/N32	10.1478
L3/P/N33	7.685385714
L3/P/N34	9.767592857
L3/P/N35	12.05697857
L3/P/N36	10.33857143
L3/P/N37	9.825785714
L3/P/N38	10.78483571
L3/P/N39	10.40785
L3/P/N40	9.742892857
L3/P/N41	11.69383571
L3/P/N42	7.567007143
L3/P/2/N1	10.66937857
L3/P/2/N2	10.86332857
L3/P/2/N3	10.79125
L3/P/2/N4	10.22547143
L3/P/2/N5	10.73293571
L3/P/2/N6	9.279221429
L3/P/2/N7	11.27524286
L3/P/2/N8	11.79023571
L3/P/2/N9	9.286492857
L3/P/2/N10	12.53067143
L3/P/2/N11	11.24223571
L3/P/2/N12	11.35516429
L3/P/2/N13	10.80915
L3/P/2/N14	9.51415
L3/P/2/N15	11.99955714
L3/P/2/N16	7.949971429
L3/P/2/N18	9.051921429
L3/P/2/N19	9.956142857
L3/P/2/N20	11.60808571
L3/P/2/N21	9.480321429
L3/P/2/N22	9.211007143
L3/P/2/N23	11.53622857
L3/P/2/N24	12.70797143
L3/P/2/N25	11.76367857
L3/P/2/N26	11.61238571
L3/P/2/N27	12.53622857
L3/P/2/N28	13.19661429
M1/P/N1	9.879978571
M1/P/N2	9.090092857
M1/P/N3	8.858921429
M1/P/N4	8.622092857
M1/P/N5	8.698428571
M1/P/N6	8.543128571
M1/P/N7	8.93375
M1/P/N8	8.687807143
M1/P/N9	11.18892143
M1/P/N10	8.457542857
M1/P/N11	10.96996429
M1/P/N12	9.877121429
M1/P/N13	10.62855
M1/P/N14	10.04085
M1/P/N15	10.80381429
M1/P/N16	8.4917
M1/P/N17	8.545435714
M1/P/N18	8.298742857
M1/P/N19	8.744421429
M1/P/N20	8.660157143
M1/P/N21	9.381392857
M1/P/N22	9.821985714
M1/P/N23	9.190035714
M1/P/N24	9.469142857
M1/P/N25	11.18809286
M1/P/N26	9.059728571
M1/P/N27	8.48505
M1/P/N28	9.835192857
M1/P/N29	9.782528571
M1/P/N30	8.519585714
M1/P/N31	10.48912857
M1/P/N32	9.624014286
M1/P/N33	9.262121429
M1/P/N34	11.02781429
M1/P/N35	10.66590714
M1/P/N36	11.00939286
M1/P/N37	9.684121429
M1/P/N38	8.844357143
M1/P/N39	9.538607143
M1/P/N40	9.961085714
M1/P/N41	11.58265
M1/P/N42	10.93247143
M1/P/2/N1	14.94828571
M1/P/2/N2	14.50072143
M1/P/2/N3	11.12035
M1/P/2/N4	12.69417143
M1/P/2/N5	11.37916429
M1/P/2/N6	11.08751429
M1/P/2/N7	9.267564286
M1/P/2/N8	10.56042857
M1/P/2/N9	10.02098571
M1/P/2/N10	10.47036429
M1/P/2/N11	9.477557143
M1/P/2/N12	11.60155
M1/P/2/N13	11.48779286
M1/P/2/N14	13.55733571
